train_number,train_name,station_name,departure,source,destination,created_at
23691,CUDDALORE PORT MADHUPUR JN Local,UNA HIMACHAL,16:57:00,CUDDALORE PORT,MADHUPUR JN,2024-05-09 21:11:54.002403
85145,CUDDALORE PORT MADHUPUR JN Mail,HALDIBARI,20:52:00,CUDDALORE PORT,MADHUPUR JN,2025-01-24 21:11:54.002403
41214,CUDDALORE PORT MADHUPUR JN Shatabdi,PANIPAT JN,17:25:00,CUDDALORE PORT,MADHUPUR JN,2024-05-28 21:11:54.002403
83757,CUDDALORE PORT MADHUPUR JN MMTS,VELACHERY,12:08:00,CUDDALORE PORT,MADHUPUR JN,2024-10-21 21:11:54.002403
77291,Raipur JN Vellore CITY MMTS,Ramgarh CITY,10:06:00,Raipur JN,Vellore CITY,2025-03-08 21:11:54.002403
53395,Raipur JN Vellore CITY Superfast,BADARPUR JN,11:49:00,Raipur JN,Vellore CITY,2024-08-06 21:11:54.002403
20024,Raipur JN Vellore CITY Express,KAZIPET JN,21:45:00,Raipur JN,Vellore CITY,2024-08-12 21:11:54.002403
86034,Raipur JN Vellore CITY Shatabdi,AMLA JN,12:49:00,Raipur JN,Vellore CITY,2024-10-20 21:11:54.002403
14166,Raipur JN Vellore CITY MMTS,HOSPET JN,07:20:00,Raipur JN,Vellore CITY,2024-06-03 21:11:54.002403
59680,MERTA ROAD JN TIRUNELVELI MMTS,NANJANGUD TOWN,23:45:00,MERTA ROAD JN,TIRUNELVELI,2025-02-17 21:11:54.002403
30341,MERTA ROAD JN TIRUNELVELI Duronto,SIWAN JN,16:37:00,MERTA ROAD JN,TIRUNELVELI,2024-12-19 21:11:54.002403
71707,MERTA ROAD JN TIRUNELVELI Rajdhani,BADNERA JN,00:00:00,MERTA ROAD JN,TIRUNELVELI,2024-06-06 21:11:54.002403
79329,MERTA ROAD JN TIRUNELVELI Intercity,Rourkela TERMINUS,16:53:00,MERTA ROAD JN,TIRUNELVELI,2024-04-24 21:11:54.002403
69587,NAUTANWA CHENNAI EGMORE Superfast,BANSPANI,12:37:00,NAUTANWA,CHENNAI EGMORE,2024-09-11 21:11:54.002403
46950,NAUTANWA CHENNAI EGMORE Mail,VARANASI JN,05:23:00,NAUTANWA,CHENNAI EGMORE,2025-02-20 21:11:54.002403
23553,NAUTANWA CHENNAI EGMORE Passenger,SANGLI,21:57:00,NAUTANWA,CHENNAI EGMORE,2025-03-28 21:11:54.002403
34944,Vellore ROAD MOTI KORAL Intercity,FATEHPUR,06:04:00,Vellore ROAD,MOTI KORAL,2025-03-20 21:11:54.002403
23632,Vellore ROAD MOTI KORAL Passenger,MANUGURU,05:42:00,Vellore ROAD,MOTI KORAL,2024-12-16 21:11:54.002403
90110,Vellore ROAD MOTI KORAL Intercity,METUR DAM,08:50:00,Vellore ROAD,MOTI KORAL,2024-05-19 21:11:54.002403
24887,Vellore ROAD MOTI KORAL Intercity,JABALPUR,01:18:00,Vellore ROAD,MOTI KORAL,2024-10-16 21:11:54.002403
48807,JAGDALPUR NAGARSOL Passenger,JIRIBAM,23:29:00,JAGDALPUR,NAGARSOL,2024-05-13 21:11:54.002403
25883,JAGDALPUR NAGARSOL Passenger,NIDADAVOLU JN,04:55:00,JAGDALPUR,NAGARSOL,2024-09-24 21:11:54.002403
59293,JAGDALPUR NAGARSOL Express,ARA,23:05:00,JAGDALPUR,NAGARSOL,2024-08-21 21:11:54.002403
17171,JAGDALPUR NAGARSOL Superfast,ITWARI,03:25:00,JAGDALPUR,NAGARSOL,2025-03-25 21:11:54.002403
60286,JAGDALPUR NAGARSOL Intercity,GURUVAYUR,02:11:00,JAGDALPUR,NAGARSOL,2025-01-07 21:11:54.002403
47147,Uluberia JN Katni CENTRAL Express,KAYANKULAM JN,00:37:00,Uluberia JN,Katni CENTRAL,2025-01-25 21:11:54.002403
56977,Uluberia JN Katni CENTRAL MMTS,CHOPAN,20:36:00,Uluberia JN,Katni CENTRAL,2024-04-25 21:11:54.002403
89303,Uluberia JN Katni CENTRAL Passenger,SULTANPUR,11:30:00,Uluberia JN,Katni CENTRAL,2025-03-06 21:11:54.002403
37947,Uluberia JN Katni CENTRAL Rajdhani,NEW ALIPURDAUR,21:33:00,Uluberia JN,Katni CENTRAL,2024-06-07 21:11:54.002403
56456,Uluberia JN Katni CENTRAL Superfast,DHANBAD JN,09:55:00,Uluberia JN,Katni CENTRAL,2024-11-30 21:11:54.002403
55635,BAREILLY SAGAULI JN Rajdhani,TIRUPATTUR JN,14:04:00,BAREILLY,SAGAULI JN,2024-10-28 21:11:54.002403
15838,BAREILLY SAGAULI JN Superfast,Meerut ROAD,19:26:00,BAREILLY,SAGAULI JN,2024-09-27 21:11:54.002403
27197,BAREILLY SAGAULI JN Duronto,Vijayawada JN,04:27:00,BAREILLY,SAGAULI JN,2024-09-18 21:11:54.002403
10697,DIBRUGARH TOWN VIJAYAWADA JN MMTS,CHHAPRA,08:01:00,DIBRUGARH TOWN,VIJAYAWADA JN,2024-05-09 21:11:54.002403
80399,DIBRUGARH TOWN VIJAYAWADA JN Passenger,KUMBAKONAM,16:00:00,DIBRUGARH TOWN,VIJAYAWADA JN,2024-07-09 21:11:54.002403
75800,DIBRUGARH TOWN VIJAYAWADA JN Express,Gwalior CENTRAL,05:09:00,DIBRUGARH TOWN,VIJAYAWADA JN,2024-06-16 21:11:54.002403
10590,DIBRUGARH TOWN VIJAYAWADA JN Passenger,KAZIPET JN,21:25:00,DIBRUGARH TOWN,VIJAYAWADA JN,2024-09-11 21:11:54.002403
41402,DIBRUGARH TOWN VIJAYAWADA JN Mail,Hazaribagh TERMINUS,08:42:00,DIBRUGARH TOWN,VIJAYAWADA JN,2025-04-04 21:11:54.002403
30094,SITAPUR CITY BEAWAR Intercity,TANDUR,04:39:00,SITAPUR CITY,BEAWAR,2024-07-26 21:11:54.002403
17109,SITAPUR CITY BEAWAR Superfast,BADNERA JN,06:16:00,SITAPUR CITY,BEAWAR,2024-12-31 21:11:54.002403
13486,JAJPUR KEONJHAR ROAD NANDALUR Local,SHAHDOL,21:36:00,JAJPUR KEONJHAR ROAD,NANDALUR,2025-04-15 21:11:54.002403
98325,JAJPUR KEONJHAR ROAD NANDALUR Duronto,WARDHA JN,01:13:00,JAJPUR KEONJHAR ROAD,NANDALUR,2024-10-25 21:11:54.002403
71330,JAJPUR KEONJHAR ROAD NANDALUR Mail,MANENDRAGARH,07:04:00,JAJPUR KEONJHAR ROAD,NANDALUR,2025-03-24 21:11:54.002403
26509,PURNA JN BARIPADA Superfast,RATANGARH JUNCTION,16:16:00,PURNA JN,BARIPADA,2024-06-30 21:11:54.002403
36550,PURNA JN BARIPADA Rajdhani,KAZIPET JN,20:12:00,PURNA JN,BARIPADA,2025-02-18 21:11:54.002403
13524,PURNA JN BARIPADA Express,INDORE JUNCTION MG,16:04:00,PURNA JN,BARIPADA,2025-03-27 21:11:54.002403
89037,AGARTALA Mirzapur CITY MMTS,BHOPAL JN,05:38:00,AGARTALA,Mirzapur CITY,2024-10-24 21:11:54.002403
34429,AGARTALA Mirzapur CITY Passenger,GANDHIGRAM,10:14:00,AGARTALA,Mirzapur CITY,2024-07-02 21:11:54.002403
36467,AGARTALA Mirzapur CITY Intercity,GUNTAKAL JN,05:50:00,AGARTALA,Mirzapur CITY,2024-05-18 21:11:54.002403
59267,AGARTALA Mirzapur CITY Mail,SURENDRANAGAR,19:03:00,AGARTALA,Mirzapur CITY,2024-05-20 21:11:54.002403
34006,AGARTALA Mirzapur CITY Superfast,HAZARIBAGH ROAD,02:00:00,AGARTALA,Mirzapur CITY,2024-07-14 21:11:54.002403
96146,PATIALA ADILABAD MMTS,AKOLA JN,06:56:00,PATIALA,ADILABAD,2025-03-01 21:11:54.002403
21526,PATIALA ADILABAD Mail,HALDIBARI,01:41:00,PATIALA,ADILABAD,2024-08-16 21:11:54.002403
88677,PATIALA ADILABAD Mail,Thanjavur ROAD,23:16:00,PATIALA,ADILABAD,2024-05-13 21:11:54.002403
74791,PATIALA ADILABAD Passenger,SATNA,22:21:00,PATIALA,ADILABAD,2025-02-18 21:11:54.002403
70262,PATIALA ADILABAD Shatabdi,Sambalpur JN,05:47:00,PATIALA,ADILABAD,2025-01-05 21:11:54.002403
77175,DEVLALI BHARUCH JN Rajdhani,VARANASI CITY,16:53:00,DEVLALI,BHARUCH JN,2024-06-03 21:11:54.002403
99338,DEVLALI BHARUCH JN Express,MACHILIPATNAM,19:36:00,DEVLALI,BHARUCH JN,2024-12-20 21:11:54.002403
21600,DEVLALI BHARUCH JN Rajdhani,JHANJHARPUR,07:05:00,DEVLALI,BHARUCH JN,2024-05-30 21:11:54.002403
80746,AGRA FORT KURUKSHETRA JN Shatabdi,BILASPUR JN,05:47:00,AGRA FORT,KURUKSHETRA JN,2025-02-10 21:11:54.002403
16387,AGRA FORT KURUKSHETRA JN Passenger,LAKHIMPUR,08:24:00,AGRA FORT,KURUKSHETRA JN,2024-07-12 21:11:54.002403
12257,AGRA FORT KURUKSHETRA JN Local,KABAKAPUTTUR,16:12:00,AGRA FORT,KURUKSHETRA JN,2025-04-21 21:11:54.002403
12688,NEW JALPAIGURI Singrauli JN Intercity,RAGHUNATHPUR,16:38:00,NEW JALPAIGURI,Singrauli JN,2024-05-27 21:11:54.002403
63503,NEW JALPAIGURI Singrauli JN Rajdhani,DUMKA,17:35:00,NEW JALPAIGURI,Singrauli JN,2024-09-29 21:11:54.002403
83626,NEW JALPAIGURI Singrauli JN Local,Silchar TERMINUS,08:17:00,NEW JALPAIGURI,Singrauli JN,2025-01-27 21:11:54.002403
39796,Raurkela Industrial Township JN LALGARH JN Shatabdi,JAWLMUKHI ROAD,08:59:00,Raurkela Industrial Township JN,LALGARH JN,2024-11-20 21:11:54.002403
56523,Raurkela Industrial Township JN LALGARH JN Intercity,SIRPUR KAGAZNAGAR,07:03:00,Raurkela Industrial Township JN,LALGARH JN,2025-01-23 21:11:54.002403
68543,Raurkela Industrial Township JN LALGARH JN Local,TIRUCHENDUR,23:46:00,Raurkela Industrial Township JN,LALGARH JN,2024-09-27 21:11:54.002403
45704,Raurkela Industrial Township JN LALGARH JN Superfast,MIRZAPALI,19:58:00,Raurkela Industrial Township JN,LALGARH JN,2024-07-05 21:11:54.002403
66948,Yamunanagar CENTRAL TIRUCHIRAPPALLI Local,DIVA,09:39:00,Yamunanagar CENTRAL,TIRUCHIRAPPALLI,2024-06-17 21:11:54.002403
42973,Yamunanagar CENTRAL TIRUCHIRAPPALLI Express,HAPA,14:44:00,Yamunanagar CENTRAL,TIRUCHIRAPPALLI,2024-11-01 21:11:54.002403
73330,Yamunanagar CENTRAL TIRUCHIRAPPALLI Local,AMRITSAR JN,21:57:00,Yamunanagar CENTRAL,TIRUCHIRAPPALLI,2024-10-10 21:11:54.002403
34335,Yamunanagar CENTRAL TIRUCHIRAPPALLI Intercity,BULANDSHAHR,05:29:00,Yamunanagar CENTRAL,TIRUCHIRAPPALLI,2024-05-18 21:11:54.002403
29010,Yamunanagar CENTRAL TIRUCHIRAPPALLI Duronto,TIRUPATI MAIN,02:38:00,Yamunanagar CENTRAL,TIRUCHIRAPPALLI,2024-05-15 21:11:54.002403
38560,MALDA TOWN TIRUTTANI Passenger,BALHARSHAH,06:36:00,MALDA TOWN,TIRUTTANI,2024-10-10 21:11:54.002403
40368,MALDA TOWN TIRUTTANI Superfast,VARANASI CITY,09:56:00,MALDA TOWN,TIRUTTANI,2024-09-12 21:11:54.002403
34926,MALDA TOWN TIRUTTANI Rajdhani,KABAKAPUTTUR,13:17:00,MALDA TOWN,TIRUTTANI,2025-01-04 21:11:54.002403
51217,BANGALORE CITY JN KUMBAKONAM Mail,BADNERA JN,03:56:00,BANGALORE CITY JN,KUMBAKONAM,2024-06-11 21:11:54.002403
12953,BANGALORE CITY JN KUMBAKONAM Rajdhani,VRIDHACHALAM JN,10:19:00,BANGALORE CITY JN,KUMBAKONAM,2024-08-19 21:11:54.002403
81790,TELIBANDHA ALIGARH JN Express,KAZIPET JN,20:23:00,TELIBANDHA,ALIGARH JN,2024-07-30 21:11:54.002403
53821,TELIBANDHA ALIGARH JN Rajdhani,AIT,22:28:00,TELIBANDHA,ALIGARH JN,2024-12-15 21:11:54.002403
80746,TELIBANDHA ALIGARH JN Intercity,BARI SADRI,10:01:00,TELIBANDHA,ALIGARH JN,2025-01-30 21:11:54.002403
19469,TELIBANDHA ALIGARH JN Mail,GOMOH JN,02:59:00,TELIBANDHA,ALIGARH JN,2024-11-21 21:11:54.002403
58862,KESINGA PURI Passenger,JOGBANI,19:38:00,KESINGA,PURI,2025-02-05 21:11:54.002403
43539,KESINGA PURI Duronto,Baranagar ROAD,21:53:00,KESINGA,PURI,2024-08-04 21:11:54.002403
60596,KESINGA PURI Passenger,Bokaro JN,19:26:00,KESINGA,PURI,2024-11-22 21:11:54.002403
99497,BODHAN ERNAKULAM JN Rajdhani,Ballia ROAD,13:36:00,BODHAN,ERNAKULAM JN,2024-08-30 21:11:54.002403
81477,BODHAN ERNAKULAM JN Passenger,BHUSAVAL JN,17:41:00,BODHAN,ERNAKULAM JN,2024-08-20 21:11:54.002403
92209,BODHAN ERNAKULAM JN Passenger,SHORANUR JN,02:07:00,BODHAN,ERNAKULAM JN,2024-05-15 21:11:54.002403
32528,BODHAN ERNAKULAM JN Duronto,Munger CENTRAL,07:28:00,BODHAN,ERNAKULAM JN,2024-09-22 21:11:54.003403
80006,SECUNDERABAD JN RAICHUR Duronto,BHAVNAGAR TERMINUS,17:07:00,SECUNDERABAD JN,RAICHUR,2024-12-13 21:11:54.003403
50902,SECUNDERABAD JN RAICHUR Duronto,RAYAGADA,06:32:00,SECUNDERABAD JN,RAICHUR,2025-03-23 21:11:54.003403
83860,SECUNDERABAD JN RAICHUR Mail,BURHWAL,18:15:00,SECUNDERABAD JN,RAICHUR,2025-04-22 21:11:54.003403
14606,SECUNDERABAD JN RAICHUR Local,VIKARABAD JN,06:45:00,SECUNDERABAD JN,RAICHUR,2024-10-27 21:11:54.003403
81635,Kamarhati CENTRAL PARBHANI JN Superfast,Sirsa ROAD,02:54:00,Kamarhati CENTRAL,PARBHANI JN,2025-02-18 21:11:54.003403
43657,Kamarhati CENTRAL PARBHANI JN Passenger,PURI,05:55:00,Kamarhati CENTRAL,PARBHANI JN,2024-12-16 21:11:54.003403
91782,Kamarhati CENTRAL PARBHANI JN Intercity,JETALSAR JN,04:41:00,Kamarhati CENTRAL,PARBHANI JN,2024-04-29 21:11:54.003403
25467,PALAKKAD HASANABAD Duronto,GULBARGA,18:43:00,PALAKKAD,HASANABAD,2024-12-15 21:11:54.003403
13041,PALAKKAD HASANABAD Local,BARKAKANA,06:40:00,PALAKKAD,HASANABAD,2024-09-10 21:11:54.003403
74131,PALAKKAD HASANABAD MMTS,MACHERLA,13:04:00,PALAKKAD,HASANABAD,2025-01-18 21:11:54.003403
44914,PALAKKAD HASANABAD Shatabdi,BALURGHAT,01:33:00,PALAKKAD,HASANABAD,2024-10-23 21:11:54.003403
66040,PALAKKAD HASANABAD Passenger,JAIJON DOABA,16:43:00,PALAKKAD,HASANABAD,2025-04-04 21:11:54.003403
68849,KULEM Saharanpur TERMINUS Mail,DEVLALI,05:20:00,KULEM,Saharanpur TERMINUS,2024-07-18 21:11:54.003403
37480,KULEM Saharanpur TERMINUS Shatabdi,Ranchi CITY,08:28:00,KULEM,Saharanpur TERMINUS,2025-01-13 21:11:54.003403
72762,KULEM Saharanpur TERMINUS Mail,HAZARIBAGH ROAD,19:39:00,KULEM,Saharanpur TERMINUS,2024-12-04 21:11:54.003403
89168,KULEM Saharanpur TERMINUS Duronto,KUMBAKONAM,20:10:00,KULEM,Saharanpur TERMINUS,2024-12-05 21:11:54.003403
15149,KULEM Saharanpur TERMINUS Passenger,MIYAGAM KARJAN,10:12:00,KULEM,Saharanpur TERMINUS,2024-11-22 21:11:54.003403
80935,BODHAN DHAULPUR Intercity,BHAGALPUR,09:08:00,BODHAN,DHAULPUR,2024-05-08 21:11:54.003403
23662,BODHAN DHAULPUR Express,NARKATIAGANJ JN,02:26:00,BODHAN,DHAULPUR,2025-04-09 21:11:54.003403
86131,BODHAN DHAULPUR Superfast,KOLKATA SHALIMAR,05:26:00,BODHAN,DHAULPUR,2025-03-20 21:11:54.003403
95228,BODHAN DHAULPUR Shatabdi,Jalgaon TERMINUS,13:37:00,BODHAN,DHAULPUR,2024-09-30 21:11:54.003403
54960,BOLPUR SHANTINIKETAN ITWARI Rajdhani,SULTANPUR,19:12:00,BOLPUR SHANTINIKETAN,ITWARI,2024-09-27 21:11:54.003403
65206,BOLPUR SHANTINIKETAN ITWARI Express,ROHTAK JN,01:42:00,BOLPUR SHANTINIKETAN,ITWARI,2025-03-24 21:11:54.003403
13443,BOLPUR SHANTINIKETAN ITWARI Intercity,FAZILKA,10:57:00,BOLPUR SHANTINIKETAN,ITWARI,2024-12-23 21:11:54.003403
69622,Fatehpur JN TAMBARAM Intercity,MACHERLA,16:36:00,Fatehpur JN,TAMBARAM,2025-01-05 21:11:54.003403
11620,Fatehpur JN TAMBARAM Intercity,Buxar JN,09:15:00,Fatehpur JN,TAMBARAM,2025-04-12 21:11:54.003403
73513,Fatehpur JN TAMBARAM Shatabdi,BARMER,21:43:00,Fatehpur JN,TAMBARAM,2025-02-07 21:11:54.003403
91360,Fatehpur JN TAMBARAM Local,CHANDIA ROAD,14:46:00,Fatehpur JN,TAMBARAM,2024-06-22 21:11:54.003403
21263,RAGHURAJ SINGH BALAGHAT JUNCTION Duronto,CHANDRAPURA,20:58:00,RAGHURAJ SINGH,BALAGHAT JUNCTION,2024-05-13 21:11:54.003403
77287,RAGHURAJ SINGH BALAGHAT JUNCTION Express,Singrauli JN,14:56:00,RAGHURAJ SINGH,BALAGHAT JUNCTION,2024-07-17 21:11:54.003403
47659,RAGHURAJ SINGH BALAGHAT JUNCTION Mail,SIWAN JN,01:10:00,RAGHURAJ SINGH,BALAGHAT JUNCTION,2024-07-17 21:11:54.003403
59599,RAGHURAJ SINGH BALAGHAT JUNCTION Express,MIRAJ JN,08:49:00,RAGHURAJ SINGH,BALAGHAT JUNCTION,2024-04-30 21:11:54.003403
79887,KHURJA JN BARDDHAMAN JN Local,BENOY BADAL DINESH GARDENS,11:08:00,KHURJA JN,BARDDHAMAN JN,2025-04-11 21:11:54.003403
46271,KHURJA JN BARDDHAMAN JN Express,KOTTAYAM,02:36:00,KHURJA JN,BARDDHAMAN JN,2025-01-25 21:11:54.003403
96824,NABADWIP DHAM MANDUADIH Express,DEVLALI,08:33:00,NABADWIP DHAM,MANDUADIH,2025-02-12 21:11:54.003403
44955,NABADWIP DHAM MANDUADIH Mail,SAMBALPUR,15:21:00,NABADWIP DHAM,MANDUADIH,2024-08-19 21:11:54.003403
40788,NABADWIP DHAM MANDUADIH Express,NIDADAVOLU JN,08:04:00,NABADWIP DHAM,MANDUADIH,2025-01-19 21:11:54.003403
18485,NABADWIP DHAM MANDUADIH Local,GEDE,15:12:00,NABADWIP DHAM,MANDUADIH,2024-12-24 21:11:54.003403
71584,ITWARI KAZIPET JN Express,MACHERLA,08:13:00,ITWARI,KAZIPET JN,2025-02-25 21:11:54.003403
77529,ITWARI KAZIPET JN Shatabdi,PUNALUR,22:10:00,ITWARI,KAZIPET JN,2025-04-06 21:11:54.003403
84964,ITWARI KAZIPET JN Express,MANENDRAGARH,16:23:00,ITWARI,KAZIPET JN,2024-10-18 21:11:54.003403
33579,ITWARI KAZIPET JN Duronto,Tenali ROAD,20:23:00,ITWARI,KAZIPET JN,2025-01-21 21:11:54.003403
25700,PARLI VAIJNATH AZAMGARH Express,BANSPANI,03:59:00,PARLI VAIJNATH,AZAMGARH,2024-08-11 21:11:54.003403
94433,PARLI VAIJNATH AZAMGARH Superfast,HOSPET JN,04:11:00,PARLI VAIJNATH,AZAMGARH,2024-05-17 21:11:54.003403
96248,PARLI VAIJNATH AZAMGARH Passenger,YESVANTPUR JN,14:46:00,PARLI VAIJNATH,AZAMGARH,2024-06-04 21:11:54.003403
47126,PARLI VAIJNATH AZAMGARH Local,Ujjain CITY,11:10:00,PARLI VAIJNATH,AZAMGARH,2024-10-05 21:11:54.003403
28444,PARLI VAIJNATH AZAMGARH Intercity,RAGHUNATHPUR,04:57:00,PARLI VAIJNATH,AZAMGARH,2025-03-03 21:11:54.003403
43312,TINSUKIA JUNCTION LOHARDAGA Rajdhani,DEGANA JN,01:51:00,TINSUKIA JUNCTION,LOHARDAGA,2024-07-26 21:11:54.003403
66541,TINSUKIA JUNCTION LOHARDAGA Express,BARBIL,23:56:00,TINSUKIA JUNCTION,LOHARDAGA,2024-09-11 21:11:54.003403
20892,TINSUKIA JUNCTION LOHARDAGA Passenger,Kulti TERMINUS,22:44:00,TINSUKIA JUNCTION,LOHARDAGA,2024-12-17 21:11:54.003403
35582,TINSUKIA JUNCTION LOHARDAGA Express,BHIMAVARAM JUNCTION,08:29:00,TINSUKIA JUNCTION,LOHARDAGA,2024-05-21 21:11:54.003403
94450,MARKAPUR ROAD LUDHIANA JN Shatabdi,MARIANI JN,19:37:00,MARKAPUR ROAD,LUDHIANA JN,2024-11-19 21:11:54.003403
90631,MARKAPUR ROAD LUDHIANA JN Local,KODINAR,14:50:00,MARKAPUR ROAD,LUDHIANA JN,2025-04-11 21:11:54.003403
39088,MARKAPUR ROAD LUDHIANA JN Passenger,BALHARSHAH,18:06:00,MARKAPUR ROAD,LUDHIANA JN,2024-08-24 21:11:54.003403
32692,MARKAPUR ROAD LUDHIANA JN Local,LAL KUAN,23:19:00,MARKAPUR ROAD,LUDHIANA JN,2024-08-27 21:11:54.003403
77678,Ballia JN SENGOTTAI MMTS,RATANGARH JUNCTION,12:30:00,Ballia JN,SENGOTTAI,2024-07-19 21:11:54.003403
87164,Ballia JN SENGOTTAI Express,Panipat CITY,04:39:00,Ballia JN,SENGOTTAI,2024-09-22 21:11:54.003403
21700,Ballia JN SENGOTTAI MMTS,NABADWIP DHAM,00:39:00,Ballia JN,SENGOTTAI,2024-12-12 21:11:54.003403
11615,Ballia JN SENGOTTAI MMTS,Tumkur JN,06:11:00,Ballia JN,SENGOTTAI,2024-06-22 21:11:54.003403
30301,Ballia JN SENGOTTAI Intercity,WADSA,10:40:00,Ballia JN,SENGOTTAI,2025-01-21 21:11:54.003403
33376,ANAND VIHAR TRM BARMER Express,CHANDAUSI JN,12:39:00,ANAND VIHAR TRM,BARMER,2024-08-24 21:11:54.003403
94165,ANAND VIHAR TRM BARMER Shatabdi,SHORANUR JN,08:43:00,ANAND VIHAR TRM,BARMER,2024-12-14 21:11:54.003403
39920,ANAND VIHAR TRM BARMER MMTS,NABADWIP DHAM,20:24:00,ANAND VIHAR TRM,BARMER,2024-11-30 21:11:54.003403
92738,ANAND VIHAR TRM BARMER Local,NILAMBUR ROAD,16:59:00,ANAND VIHAR TRM,BARMER,2025-04-01 21:11:54.003403
